|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
2559|11855|Adrian Cuadra|M|3|914|6.7770240700218825|0|3|1|0|0|0|0|473|5|15.199999999999998|25|3|10|23.764112215821193|2.727272727272727|10.2974969391761|92|46|2|2|20|18.50627900253702|14|11|9.32773178939091|0|1|0|0|0|0|0
2560|11856|Matias Fernandez|D|7|2087|6.767465261140393|1|4|2|1|0|1|0|754|18|19.770000000000003|21|2|25|22.70071922802741|1.5625|27.518258835372414|122|71|15|7|12|13.047294253630202|22|10|10.370046518421557|1|0|0|1|0|0|0
2561|11857|Matias Marin|M|15|472|6.721656050955414|1|10|5|1|0|1|0|145|9|29.709999999999997|6|0|3|6.180689877498389|0.0|3.4102654451491663|33|11|10|5|8|7.434017891110346|7|12|11.31958292916175|0|0|0|0|0|0|0
2562|11858|Marco Medel|M|21|2497|7.312134561473769|2|48|19|2|0|7|0|1180|63|188.26999999999995|34|2|22|35.19080249575154|2.200193423597679|23.697565701617467|164|85|24|12|28|31.220201002964117|47|25|27.123085252465057|5|1|0|0|0|0|0
2563|11859|Luis Valenzuela|M|23|145|6.924137931034482|0|5|2|2|0|0|0|49|4|34.86|2|0|2|2.127659574468085|0.0|2.7658045977011496|21|8|1|0|4|4.795193731917662|2|4|4.09055934698247|0|0|0|0|0|0|0
2564|11861|Francisco Castro|F|14|367|6.544686648501362|0|8|4|1|0|2|0|76|8|53.04|0|0|6|0.0|0.0|6.994935718339973|66|23|16|6|4|3.997289972899729|8|8|9.436203442626566|1|0|0|0|0|0|0
2565|11862|Victor Espinoza|F|20|29|6.7|0|0|0|0|0|0|0|10|1|0.37|0|0|1|0.0|0.0|0.9433962264150942|2|1|0|0|0|0.0|0|1|0.9433962264150942|0|0|0|0|0|0|0
2566|11863|Willian Gama|M|13|468|6.873233404710922|0|4|1|0|0|0|0|124|1|4.96|14|0|9|15.647848805644909|0.0|9.318088048998757|53|31|9|4|3|2.990692153923039|3|9|9.442047311197722|0|0|0|0|0|0|0
2567|11864|Enzo Gutierrez|F|10|2532|6.868799368088467|9|49|24|13|0|2|0|445|24|132.88|8|1|4|8.976782261665983|1.0204081632653061|4.092851592851593|255|108|13|8|8|9.371261734371872|44|38|40.83660458106843|5|2|3|0|7|1|0
2568|11865|Gustavo Lanaro|F|23|548|7.06058394160584|2|15|6|3|0|0|0|94|5|35.73|1|0|1|0.9259259259259258|0.0|0.9615384615384615|20|13|4|2|0|0.0|13|7|6.109956294638098|1|0|1|0|1|0|0
